Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
15-02-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.1,78.8,177,382
18-02-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.6,84.1,195,406
21-02-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.5,72.1,244,598
25-02-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.1,67.2,195,388
3/1/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9,65.5,135,287
3/7/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.3,76.8,324,611
3/10/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.7,88.3,145,315
13-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,78.1,141,297
16-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,85.1,271,506
19-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.8,84.6,201,366
22-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,82.2,208,383
25-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.5,86.4,248,416
27-03-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,86.6,99,191
4/5/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,79.7,145,253
4/7/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8,81,111,209
4/10/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.9,76.8,91,164
13-04-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.7,76.2,104,192
16-04-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.2,75.9,55,106
19-04-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.6,75.9,78,146
22-04-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7,76.4,90,177
25-04-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.8,76.9,100,188
